,price,state,prev_state,latest_uptrend,latest_downtrend,latest_rally,latest_reaction,latest_second_rally,latest_second_reaction,redline_uptrend,redline_reaction,blackline_downtrend,blackline_rally,Date
110,369.4848327636719,reaction,uptrend,379.3335571289063,324.4732971191406,373.6690673828125,369.4848327636719,366.4453125,328.69970703125,379.3335571289063,370.75787353515625,324.4732971191406,373.6690673828125,2021-01-27
111,372.6624755859375,second_rally,reaction,379.3335571289063,324.4732971191406,373.6690673828125,369.4848327636719,372.6624755859375,328.69970703125,379.3335571289063,370.75787353515625,324.4732971191406,373.6690673828125,2021-01-28
112,365.2019348144531,reaction,second_rally,379.3335571289063,324.4732971191406,373.6690673828125,365.2019348144531,372.6624755859375,328.69970703125,379.3335571289063,370.75787353515625,324.4732971191406,373.6690673828125,2021-01-29
113,371.2809143066406,second_rally,reaction,379.3335571289063,324.4732971191406,373.6690673828125,365.2019348144531,371.2809143066406,328.69970703125,379.3335571289063,370.75787353515625,324.4732971191406,373.6690673828125,2021-02-01
114,376.5308837890625,rally,second_rally,379.3335571289063,324.4732971191406,376.5308837890625,365.2019348144531,371.2809143066406,328.69970703125,379.3335571289063,365.2019348144531,324.4732971191406,373.6690673828125,2021-02-02
115,376.8269958496094,uptrend,rally,376.8269958496094,324.4732971191406,376.5308837890625,365.2019348144531,371.2809143066406,328.69970703125,379.3335571289063,365.2019348144531,324.4732971191406,373.6690673828125,2021-02-03
116,381.1098937988281,uptrend,uptrend,381.1098937988281,324.4732971191406,376.5308837890625,365.2019348144531,371.2809143066406,328.69970703125,379.3335571289063,365.2019348144531,324.4732971191406,373.6690673828125,2021-02-04
117,382.60986328125,uptrend,uptrend,382.60986328125,324.4732971191406,376.5308837890625,365.2019348144531,371.2809143066406,328.69970703125,379.3335571289063,365.2019348144531,324.4732971191406,373.6690673828125,2021-02-05
118,385.3730163574219,uptrend,uptrend,385.3730163574219,324.4732971191406,376.5308837890625,365.2019348144531,371.2809143066406,328.69970703125,379.3335571289063,365.2019348144531,324.4732971191406,373.6690673828125,2021-02-08
119,385.116455078125,uptrend,uptrend,385.3730163574219,324.4732971191406,376.5308837890625,365.2019348144531,371.2809143066406,328.69970703125,379.3335571289063,365.2019348144531,324.4732971191406,373.6690673828125,2021-02-09
120,384.9486999511719,uptrend,uptrend,385.3730163574219,324.4732971191406,376.5308837890625,365.2019348144531,371.2809143066406,328.69970703125,379.3335571289063,365.2019348144531,324.4732971191406,373.6690673828125,2021-02-10
121,385.5704040527344,uptrend,uptrend,385.5704040527344,324.4732971191406,376.5308837890625,365.2019348144531,371.2809143066406,328.69970703125,379.3335571289063,365.2019348144531,324.4732971191406,373.6690673828125,2021-02-11
122,387.47503662109375,uptrend,uptrend,387.47503662109375,324.4732971191406,376.5308837890625,365.2019348144531,371.2809143066406,328.69970703125,379.3335571289063,365.2019348144531,324.4732971191406,373.6690673828125,2021-02-12
